campaign_id,start_date,end_date,channels,industry_name,expected_impressions_count,country_language_id,country_name,language_id,impressions,total_impressions,total_completes,exposed_completes,enough_sample_size,IP_enabled_api,campaign_length,log_impressions,log_campaign_length,impressions_per_exposed_complete,impressions_expected_vs_actual,log_impressions_actual,total_impressions_expected_vs_actual,lk_countrylanguageid,name,unique_respondents,completed_sessions,language,country,log_unique_respondents,log_completed_sessions,Geographical_subregion,Continental_region
ca3e06f6-6098-4cf9-9ad1-90d983f3b2b3,2024-01-12 00:00:00,2024-05-31 23:59:59.999000,Digital,Advocacy,20000000,1,United States,9,16258203.0,17510261,2568,1285,True,True,140,16.811242831518264,4.941642422609304,13626.662256809339,-3741797.0,16.678297609919078,-2489739,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cb1715d1-e1e0-48a7-afe4-3624aff02b60,2024-05-01 00:00:00,2024-05-31 23:59:59.999000,Digital,Other,15166667,1,United States,9,3841340.0,3843394,302,157,True,False,30,16.534610617231092,3.4011973816621555,24480.216560509554,-11325327.0,15.161866388361485,-11323273,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cb53a3a7-1953-44a5-9868-fffc166f7b82,2024-06-13 00:00:00,2024-06-22 00:00:00.000000,Digital,Media and Entertainment,3030303,1,United States,9,2314084.0,2314085,1434,738,True,True,9,14.924173172485885,2.197224577336219,3135.6165311653117,-716219.0,14.654524918991113,-716218,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cbe58397-bd21-4f22-9e33-6a4f79413b76,2024-05-16 04:00:00,2024-08-20 23:59:59.999000,Digital,Food and Beverage,6500000,18,Brazil,16,8869511.0,8871861,698,340,True,False,96,15.687312734865865,4.564348191467836,26093.70882352941,2369511.0,15.998395140621797,2371861,16,Portuguese - Brazil,1882315,13891196,Portuguese,Brazil,14.448012960254644,16.446765816135283,South America,Americas
cbf28c98-09cf-4692-b07a-552f7aed6cf8,2024-03-18 00:00:00,2024-06-30 23:59:59.999000,Digital,Financial Services,38975132,1,United States,9,67540027.0,67657508,4005,2002,True,True,104,17.47843435968878,4.6443908991413725,33794.95904095904,28564895.0,18.029968889423653,28682376,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cd33844b-acd0-4de2-99a5-3ab3963adf0b,2024-06-13 04:00:00,2024-07-19 03:59:00.000000,Digital,Telecom and Technology,192989364,1,United States,9,131738031.0,131747262,6034,3033,True,True,35,19.078145636542324,3.555348061489413,43437.93669634026,-61251333.0,18.69639596338612,-61242102,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cd4fff23-9397-4940-abb2-0f59c49e39af,2024-04-29 00:00:00,2024-06-30 23:59:59.999000,Digital,Travel and Tourism,10294118,1,United States,9,10560150.0,10560171,1883,942,True,True,62,16.147083222117285,4.127134385045092,11210.372611464969,266032.0,16.1726000292931,266053,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cd6764c8-302d-4b11-a99e-9734e9a3f605,2024-04-29 04:00:00,2024-07-31 23:59:59.999000,Digital,Media and Entertainment,11000000,10,Spain,22,45984811.0,45991853,2672,1261,True,True,93,16.213405830762643,4.532599493153255,36472.52418715305,34984811.0,17.643974830072118,34991853,22,Spanish - Spain,844234,9642272,Spanish,Spain,13.646184986335921,16.081667323464767,Southern Europe,Europe
cd7ca7e5-8032-454a-911c-c7689ee9da06,2024-01-01 00:00:00,2024-04-01 00:00:00.000000,Digital,Telecom and Technology,34000000,1,United States,9,15192260.0,15192564,2294,1145,True,True,91,17.341871082580436,4.51085950651685,13268.614847161572,-18807740.0,16.536316655587676,-18807436,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
ce17bcd4-1563-4b3c-94dd-c9c47c33acae,2024-01-08 00:00:00,2024-04-30 23:59:59.999000,Digital,Insurance,46600000,1,United States,9,30569208.0,30569534,4109,2049,True,False,113,17.657111099095875,4.727387818712341,14919.245485602733,-16030792.0,17.235514450047855,-16030466,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
ce984dc4-9484-4f7c-822a-cbde1e02f829,2024-06-10 04:00:00,2024-07-26 23:59:59.999000,Digital,Consumer Packaged Goods,14000000,15,Italy,13,26662428.0,26673089,3287,1637,True,True,46,16.454567887579532,3.828641396489095,16293.884544899205,12662428.0,17.09916571247335,12673089,13,Italian - Italy,583655,9214177,Italian,Italy,13.277065333822149,16.036253834191474,Southern Europe,Europe
ceb85730-fdff-42c8-b705-9421405bce62,2024-07-25 04:00:00,2024-08-12 03:59:00.000000,Digital,Media and Entertainment,27078447,1,United States,9,75362743.0,75366234,4369,2196,True,False,17,17.114248655767103,2.833213344056216,34319.77868852459,48284296.0,18.137869907740964,48287787,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
ced740d4-84f5-4255-9ca9-bd790bd86780,2024-02-29 05:00:00,2024-03-21 03:59:00.000000,Digital,Media and Entertainment,4634146,1,United States,9,6230888.0,6524961,788,400,True,True,20,15.34896248973624,2.995732273553991,16312.4025,1596742.0,15.691145534143674,1890815,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cee85474-a00c-40ae-969f-07828ecdff77,2024-02-16 00:00:00,2024-03-10 23:59:59.999000,Digital & Social,Media and Entertainment,4000000,1,United States,9,1937889.0,1941248,923,372,True,False,23,15.201804919084164,3.1354942159291497,5218.408602150537,-2062111.0,14.478841623180498,-2058752,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cee9a784-c97b-4f42-965a-7215ed01d43c,2024-04-15 00:00:00,2024-06-30 23:59:59.999000,Digital,Healthcare and Pharmaceuticals,6000000,1,United States,9,18260423.0,21966098,1567,781,True,True,76,15.607270027192328,4.330733340286331,28125.605633802817,12260423.0,16.905010822760882,15966098,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
cf2283c9-615c-49e6-851c-59e3d1a36c53,2024-04-01 00:00:00,2024-06-30 23:59:59.999000,Digital,Food and Beverage,6994048,5,Canada,6,1262136.0,1262220,765,380,True,True,90,15.760570059607357,4.499809670330265,3321.6315789473683,-5731912.0,14.04838263335613,-5731828,6,English - Canada,1084715,13437697,English,Canada,13.89682783764109,16.413574524209807,Northern America,Americas
cf9e1ad8-51ad-49b7-83e5-11ddd3adf79c,2023-09-06 00:00:00,2024-06-29 23:59:59.999000,Digital,Consumer Packaged Goods,70000000,7,France,10,48530474.0,48535486,2315,1155,True,True,297,18.064005800013632,5.6937321388027,42022.0658008658,-21469526.0,17.697805758470725,-21464514,10,French - France,1902921,17203471,French,France,14.458900632016686,16.660621723749912,Western Europe,Europe
d0328434-3948-476d-8205-84eea2f60b89,2023-12-28 00:00:00,2024-06-29 23:59:59.999000,Digital,Other,7276548,1,United States,9,10521179.0,10521439,1093,546,True,True,184,15.800167131891785,5.214935757608986,19270.034798534798,3244631.0,16.168925542991584,3244891,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d05de5e1-1b47-42f1-b473-3de0714059ec,2024-03-14 00:00:00,2024-04-11 23:59:59.999000,Digital,Fashion and Beauty,5600000,2,United Kingdom,8,5012812.0,5013115,1550,766,True,False,28,15.538277155705376,3.332204510175204,6544.536553524804,-587188.0,15.427568036337592,-586885,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
d0784f65-f821-4f5c-a24f-5232363f9f45,2024-06-25 04:00:00,2024-08-01 03:59:00.000000,Digital,Travel and Tourism,44707275,1,United States,9,52951654.0,52954486,4354,2277,True,True,36,17.615646798019032,3.58351893845611,23256.252086078173,8244379.0,17.78494334785835,8247211,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d11a16d2-81a7-46c1-87e2-11838ecb66a9,2024-02-01 00:00:00,2024-04-17 23:59:59.999000,Digital,Insurance,44500000,1,United States,9,33495357.0,33495747,1836,920,True,False,76,17.610999747136468,4.330733340286331,36408.42065217391,-11004643.0,17.326929033511917,-11004253,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d19380ed-3bef-4a35-8a47-ea603776a086,2024-04-01 00:00:00,2024-06-30 23:59:59.999000,Digital,Travel and Tourism,22000000,1,United States,9,24162965.0,24411157,2130,1067,True,True,90,16.90655301132259,4.499809670330265,22878.310215557638,2162965.0,17.010550839852993,2411157,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d298f05a-07bb-41c2-a1ee-98ee240a55dd,2024-03-22 04:00:00,2024-04-08 23:59:59.999000,Digital,Media and Entertainment,6500000,9,Japan,14,12228543.0,12230673,529,265,True,True,17,15.687312734865865,2.833213344056216,46153.483018867926,5728543.0,16.319457534767487,5730673,14,Japanese - Japan,1367173,21771722,Japanese,Japan,14.128255662197644,16.896122529760973,Eastern Asia,Asia
d29a79d2-f174-45a9-af85-c596242e2f4c,2024-01-01 00:00:00,2024-06-30 23:59:59.999000,Digital,Travel and Tourism,77436366,1,United States,9,55017303.0,55223132,5078,2532,True,True,181,18.16496707317861,5.198497031265825,21810.08372827804,-22419063.0,17.82689248143807,-22213234,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d33cddba-0dc0-4d42-982d-80bf38748bdd,2024-05-15 04:00:00,2024-06-30 04:00:00.000000,Digital,Alcohol,9673913,2,United Kingdom,8,23135143.0,23447224,2577,1285,True,True,46,16.084943439147036,3.828641396489095,18246.866926070037,13461230.0,16.970262666318234,13773311,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
d379559f-6857-498e-8d78-ea19a5258292,2024-04-10 00:00:00,2024-05-01 00:00:00.000000,Digital,Healthcare and Pharmaceuticals,12209302,1,United States,9,7802205.0,7802253,1443,723,True,False,21,16.317708678195668,3.044522437723423,10791.497925311203,-4407097.0,15.869923096105646,-4407049,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d52132b9-daf7-4000-a820-9574bb49f209,2024-04-24 00:00:00,2024-06-30 00:00:00.000000,Digital,Retail,23473910,1,United States,9,25632455.0,25632475,2818,1408,True,True,67,16.971400149605717,4.204692619390966,18204.8828125,2158545.0,17.059370660201612,2158565,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d53459a1-0c47-4b08-83ba-99ede352f163,2024-06-03 00:00:00,2024-08-11 23:59:59.999000,Digital,Consumer Packaged Goods,16000000,3,Germany,11,15348394.0,15348542,2319,1088,True,True,69,16.588099280204055,4.23410650459726,14107.11580882353,-651606.0,16.546531043772887,-651458,11,German - Germany,1212244,12881981,German,Germany,14.007983745481232,16.37134007116163,Western Europe,Europe
d62a3990-4073-44c3-969e-3f1b2708d4cf,2024-04-26 00:00:00,2024-04-29 00:00:00.000000,Digital,Media and Entertainment,6060606,1,United States,9,5330665.0,5330671,1494,758,True,True,3,15.61732035304583,1.0986122886681096,7032.547493403694,-729941.0,15.488987679400386,-729935,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d716fd55-cc0d-4e91-bce6-2b6d208a0878,2024-04-01 04:00:00,2024-07-01 03:59:00.000000,Digital,Home and Garden,21410575,1,United States,9,9141788.0,9142584,2507,1254,True,True,90,16.879395516814295,4.499809670330265,7290.736842105263,-12268787.0,16.028453616822365,-12267991,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d82a2493-41da-4b8b-b8f2-8f977dba6603,2024-05-01 04:00:00,2024-06-01 03:59:00.000000,Digital,Automotive,41980392,1,United States,9,87489523.0,87496535,2139,1062,True,True,30,17.55271321009306,3.4011973816621555,82388.45103578155,45509131.0,18.287109750543742,45516143,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
d85a53d0-ef48-4b6b-87ae-96f8acb9f08b,2024-02-23 00:00:00,2024-05-09 00:00:00.000000,Digital,Other,100000000,2,United Kingdom,8,2806871.0,2806873,5724,2857,True,False,76,18.420680743952364,4.330733340286331,982.4546727336367,-97193129.0,14.847581610287701,-97193127,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
d8ea784f-32d6-4c24-8a0b-a57470f80ed2,2024-06-13 00:00:00,2024-08-11 23:59:59.999000,Digital,Financial Services,4770000,2,United Kingdom,8,2803492.0,2803503,1502,749,True,True,59,15.377856862864524,4.07753744390572,3742.9946595460615,-1966508.0,14.846380264636249,-1966497,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
d8ec154e-b444-4a4c-bf85-e8899edd3e98,2024-04-29 04:00:00,2024-06-05 23:59:59.999000,Digital,Other,7289923,7,France,10,9998243.0,10004991,1878,939,True,True,37,15.802003541514791,3.610917912644224,10654.94249201278,2708320.0,16.11859462644934,2715068,10,French - France,1902921,17203471,French,France,14.458900632016686,16.660621723749912,Western Europe,Europe
d923d174-e15c-4a06-918a-7bfe327e431e,2024-05-20 00:00:00,2024-06-30 23:59:59.999000,Digital,Travel and Tourism,5127819,1,United States,9,5180552.0,5180624,1514,763,True,True,41,15.450190980547854,3.713572066704308,6789.808650065531,52733.0,15.460436070301006,52805,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
